1+2,50.,0.,42.,8.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,49.,1.,0.0,0.01,0.784624381466,9.472992954490086e-05,0.009732930162335536,650.2065489292145
1+2,50.,0.,50.,0.,50.,0.,48.,2.,45.,5.,33.,17.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.766339657989,4.028450920677834e-05,0.0063470078940220595,568.2822329998016
1+2,50.,0.,42.,8.,50.,0.,50.,0.,50.,0.,47.,3.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.786093970511,0.00015860556188513274,0.012593870012237413,618.4220104217529
1+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,38.,12.,37.,13.,0.0,0.01,0.770055770056,0.0010689306699602724,0.032694505195220075,764.2668323516846
1+2,50.,0.,48.,2.,50.,0.,50.,0.,28.,22.,50.,0.,49.,1.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.768175800659,4.7992295572409014e-05,0.00692764718879426,628.6422140598297
1+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,40.,10.,50.,0.,0.0,0.01,0.782909693954,0.00013425656098803301,0.011586913350329025,567.9141206741333
1+2,50.,0.,50.,0.,47.,3.,50.,0.,49.,1.,50.,0.,48.,2.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.786891420167,0.00016502089103866304,0.012846045735504099,513.2927691936493
1+2,48.,2.,49.,1.,50.,0.,50.,0.,46.,4.,50.,0.,50.,0.,48.,2.,50.,0.,50.,0.,0.0,0.01,0.785211482641,0.0001516543690976012,0.012314802844447052,643.4687271118164
1+2,50.,0.,49.,1.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,41.,9.,49.,1.,50.,0.,0.0,0.01,0.780827248349,0.00011942962556113074,0.010928386228585205,711.6467008590698
1+2,50.,0.,50.,0.,27.,23.,50.,0.,50.,0.,49.,1.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.768552870149,4.965861683123426e-05,0.007046887031252471,598.1222593784332
